record_id,artifact_code,retrieval_anchor,task_id,execution_id,object_id,trace_id,incident_id,recovery_case_id,component,error_code,failure_reason,current_value,last_success_value,action,status,observed_at,source_uri,confidence,confidence_basis
CSV-CON-788-001,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0001,EXEC-tenant-10-project-102-0001,object-00,trace-tenant-10-project-102-0001,INC-tenant-10-project-102-0001,RC-tenant-10-project-102-0001,Gateway,CONNECTION_TIMEOUT,"网络或端点超时：连接耗时、DNS、目标健康",300,300,"有界增加超时或等待端点恢复；持续失败时退出",ATTENTION_REQUIRED,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/connector-inventory/1,0.90,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-002,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0002,EXEC-tenant-10-project-102-0002,object-01,trace-tenant-10-project-102-0002,INC-tenant-10-project-102-0002,RC-tenant-10-project-102-0002,Task Management,AUTHENTICATION_FAILED,"凭据失效或引用错误：认证响应与凭据引用版本",301,300,"禁止自动修改凭据，返回轮换指引",RECOVERED,2026-08-10T00:11:00.000Z,synthetic://datasmart-govern/connector-inventory/2,0.91,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-003,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0003,EXEC-tenant-10-project-102-0003,object-02,trace-tenant-10-project-102-0003,INC-tenant-10-project-102-0003,RC-tenant-10-project-102-0003,Agent Runtime,PERMISSION_DENIED,"资源动作未授权：actor、resource、action、审批事实",302,300,"立即退出 Loop，说明所需权限",RECOVERED,2026-08-10T00:22:00.000Z,synthetic://datasmart-govern/connector-inventory/3,0.92,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-004,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0004,EXEC-tenant-10-project-102-0004,object-03,trace-tenant-10-project-102-0004,INC-tenant-10-project-102-0004,RC-tenant-10-project-102-0004,Python AI Runtime,RATE_LIMIT_EXCEEDED,"来源或目标端限流：429、限流头、连接器容量",303,300,"降低并发/批量并有界退避",RECOVERED,2026-08-10T00:33:00.000Z,synthetic://datasmart-govern/connector-inventory/4,0.93,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-005,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0005,EXEC-tenant-10-project-102-0005,object-04,trace-tenant-10-project-102-0005,INC-tenant-10-project-102-0005,RC-tenant-10-project-102-0005,Kafka Broker,SCHEMA_DRIFT_DETECTED,"来源结构发生变化：schema 指纹与元数据差异",304,300,"刷新元数据；唯一兼容映射才自动修复",RECOVERED,2026-08-10T00:44:00.000Z,synthetic://datasmart-govern/connector-inventory/5,0.94,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-006,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0006,EXEC-tenant-10-project-102-0006,object-05,trace-tenant-10-project-102-0006,INC-tenant-10-project-102-0006,RC-tenant-10-project-102-0006,Kafka Consumer,FIELD_MAPPING_MISSING,"目标字段缺少映射：源目标字段、历史成功映射",305,300,"唯一映射可修复，歧义映射退出",RECOVERED,2026-08-10T00:55:00.000Z,synthetic://datasmart-govern/connector-inventory/6,0.95,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-007,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0007,EXEC-tenant-10-project-102-0007,object-06,trace-tenant-10-project-102-0007,INC-tenant-10-project-102-0007,RC-tenant-10-project-102-0007,Outbox,NOT_NULL_VIOLATION,"目标非空字段收到空值：错误字段、字段画像、已批准默认值",306,300,"使用已批准静态默认值；不得放宽约束",RECOVERED,2026-08-10T01:06:00.000Z,synthetic://datasmart-govern/connector-inventory/7,0.96,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-008,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0008,EXEC-tenant-10-project-102-0008,object-07,trace-tenant-10-project-102-0008,INC-tenant-10-project-102-0008,RC-tenant-10-project-102-0008,DLT,DATA_TYPE_MISMATCH,"源目标类型不兼容：类型、精度、长度、样本统计",307,300,"无损转换可修复，有损转换退出",ATTENTION_REQUIRED,2026-08-10T01:17:00.000Z,synthetic://datasmart-govern/connector-inventory/8,0.97,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-009,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0009,EXEC-tenant-10-project-102-0009,object-08,trace-tenant-10-project-102-0009,INC-tenant-10-project-102-0009,RC-tenant-10-project-102-0009,Datasource,NUMERIC_OVERFLOW,"数值超过目标精度：最值、precision、scale",308,300,"禁止截断，返回扩容或映射建议",RECOVERED,2026-08-10T01:28:00.000Z,synthetic://datasmart-govern/connector-inventory/9,0.98,SYNTHETIC_CORRELATED_RECORD
CSV-CON-788-010,CSV-CON-788,tenant-10-project-102:connector-inventory,TASK-tenant-10-project-102-0010,EXEC-tenant-10-project-102-0010,object-09,trace-tenant-10-project-102-0010,INC-tenant-10-project-102-0010,RC-tenant-10-project-102-0010,Data Sync Worker,STRING_TRUNCATION_RISK,"字符串超过目标长度：最大长度与超限行数",309,300,"禁止静默截断，退出并给出影响",RECOVERED,2026-08-10T01:39:00.000Z,synthetic://datasmart-govern/connector-inventory/10,0.99,SYNTHETIC_CORRELATED_RECORD
