DataSmart Govern 快速参考
原创合成评测资料，不含真实客户、个人、凭据或生产数据
精确码：TXT-QRF-611
独立锚点：global:quick-reference
范围：全局产品基线

一、产品入口速查
1. 登录并建立会话 | 入口=登录页 | 角色=ORDINARY_USER | 权限=SESSION/CREATE | 结果=进入个人工作台并取得受限会话
2. 切换当前项目 | 入口=顶部项目选择器 | 角色=ORDINARY_USER | 权限=PROJECT/VIEW | 结果=所有列表和 Agent 请求切换到新项目范围
3. 查看平台概览 | 入口=工作台 | 角色=ORDINARY_USER | 权限=DASHBOARD/VIEW | 结果=获得当前项目的低敏运行概览
4. 创建同步任务草稿 | 入口=数据同步/新建任务 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=生成 DRAFT 状态任务且不产生执行副作用
5. 校验创建向导步骤 | 入口=数据同步/新建任务 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=当前步骤达到进入下一步的条件
6. 发现可同步对象 | 入口=数据同步/对象选择 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_METADATA/DISCOVER | 结果=获得当前权限范围内的表、文件或 Topic 清单
7. 获取字段映射建议 | 入口=数据同步/字段映射 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_METADATA/SUGGEST | 结果=形成待预检的字段映射草稿
8. 检查自定义 SQL | 入口=数据同步/SQL 模式 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=只返回列定义和低敏诊断，不返回原始数据
9. 运行任务预检 | 入口=数据同步/预检 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/PRECHECK | 结果=生成可审计预检结果，不自动发布任务
10. 发布同步任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/PUBLISH | 结果=任务配置形成不可变发布版本
11. 手动运行任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/RUN | 结果=创建一次受治理的 MANUAL execution
12. 终止运行中任务 | 入口=数据同步/执行详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/TERMINATE | 结果=停止后续工作单元并形成终止审计
13. 查看执行详情 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示服务端权威执行状态和统计
14. 查看统一生命周期图 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示用户目标到最终验证的只读投影
15. 查看对象执行台账 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=获得表、分片、文件或分区级状态
16. 查看执行日志 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW_LOG | 结果=获得脱敏结构化日志，不展示凭据或原始数据
17. 查看恢复状态 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示服务端已记录的恢复事实
18. 查看同步事故 | 入口=数据同步/事故中心 | 角色=ORDINARY_USER | 权限=SYNC_INCIDENT/VIEW | 结果=读取当前项目可见的事故记录
19. 导出任务定义 | 入口=数据同步/任务列表 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/EXPORT | 结果=获得不含连接串、凭据和完整 SQL 的定义文件
20. 导入任务定义 | 入口=数据同步/任务列表 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/IMPORT | 结果=批量创建受服务端状态机控制的任务草稿
21. 克隆同步任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=生成独立 taskId，不复制运行状态
22. 维护任务分组 | 入口=数据同步/任务分组 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_GROUP/MANAGE | 结果=更新项目内的任务组织结构
23. 查看质量概览 | 入口=数据质量/概览 | 角色=ORDINARY_USER | 权限=QUALITY_OVERVIEW/VIEW | 结果=展示当前范围的质量统计
24. 查看质量报告 | 入口=数据质量/报告 | 角色=ORDINARY_USER | 权限=QUALITY_REPORT/VIEW | 结果=获得可审计质量报告
25. 申请创建项目 | 入口=项目管理/我的申请 | 角色=ORDINARY_USER | 权限=PROJECT_CREATION_REQUEST/CREATE | 结果=创建待审批项目申请
26. 申请加入项目 | 入口=项目管理/加入项目 | 角色=ORDINARY_USER | 权限=PROJECT_JOIN_REQUEST/CREATE | 结果=创建项目成员资格申请
27. 查看我的审批请求 | 入口=审批中心/我的申请 | 角色=ORDINARY_USER | 权限=APPROVAL/VIEW_SELF | 结果=展示本人发起的审批记录
28. 创建 Agent 会话 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/CREATE_SESSION | 结果=创建仅属于当前用户和项目的 Agent 会话
29. 提交 Agent 目标 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/PLAN | 结果=生成待确认计划或需要澄清的问题
30. 确认 Agent 计划 | 入口=Agent 助手 | 角色=PROJECT_OWNER | 权限=AI_RUNTIME/EXECUTE | 结果=在授权盒内启动执行
31. 查询 RAG 证据 | 入口=Agent 助手/知识检索 | 角色=ORDINARY_USER | 权限=AI_KNOWLEDGE/QUERY | 结果=返回范围内证据或明确拒答
32. 查看 Specialist 事实 | 入口=Agent 助手/执行详情 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/VIEW | 结果=展示六 Specialist 的可审计执行事实
33. 停止 Agent 运行 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/CANCEL | 结果=停止后续规划或执行，不删除历史事实
34. 置顶或归档会话 | 入口=Agent 助手/历史 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/MANAGE_SELF | 结果=只改变个人会话展示状态
35. 查看通知与实时进度 | 入口=通知中心 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/SUBSCRIBE | 结果=持续接收范围内低敏状态事件

二、状态速查
1. DRAFT | 对象=任务 | 用户操作=按页面允许动作继续
2. PUBLISHED | 对象=execution | 用户操作=按页面允许动作继续
3. QUEUED | 对象=对象台账 | 用户操作=按页面允许动作继续
4. RUNNING | 对象=Agent Run | 用户操作=按页面允许动作继续
5. PAUSED | 对象=Recovery case | 用户操作=按页面允许动作继续
6. SUCCEEDED | 对象=任务 | 用户操作=按页面允许动作继续
7. FAILED | 对象=execution | 用户操作=查看证据和恢复状态
8. TERMINATED | 对象=对象台账 | 用户操作=按页面允许动作继续
9. ATTENTION_REQUIRED | 对象=Agent Run | 用户操作=按页面允许动作继续
10. RECOVERED | 对象=Recovery case | 用户操作=按页面允许动作继续
11. WAITING_CONFIRMATION | 对象=任务 | 用户操作=按页面允许动作继续
12. COMPLETED | 对象=execution | 用户操作=按页面允许动作继续
13. DRAFT | 对象=对象台账 | 用户操作=按页面允许动作继续
14. PUBLISHED | 对象=Agent Run | 用户操作=按页面允许动作继续
15. QUEUED | 对象=Recovery case | 用户操作=按页面允许动作继续
16. RUNNING | 对象=任务 | 用户操作=按页面允许动作继续
17. PAUSED | 对象=execution | 用户操作=按页面允许动作继续
18. SUCCEEDED | 对象=对象台账 | 用户操作=按页面允许动作继续
19. FAILED | 对象=Agent Run | 用户操作=查看证据和恢复状态
20. TERMINATED | 对象=Recovery case | 用户操作=按页面允许动作继续
21. ATTENTION_REQUIRED | 对象=任务 | 用户操作=按页面允许动作继续
22. RECOVERED | 对象=execution | 用户操作=按页面允许动作继续
23. WAITING_CONFIRMATION | 对象=对象台账 | 用户操作=按页面允许动作继续
24. COMPLETED | 对象=Agent Run | 用户操作=按页面允许动作继续
25. DRAFT | 对象=Recovery case | 用户操作=按页面允许动作继续
26. PUBLISHED | 对象=任务 | 用户操作=按页面允许动作继续
27. QUEUED | 对象=execution | 用户操作=按页面允许动作继续
28. RUNNING | 对象=对象台账 | 用户操作=按页面允许动作继续
29. PAUSED | 对象=Agent Run | 用户操作=按页面允许动作继续
30. SUCCEEDED | 对象=Recovery case | 用户操作=按页面允许动作继续
31. FAILED | 对象=任务 | 用户操作=查看证据和恢复状态
32. TERMINATED | 对象=execution | 用户操作=按页面允许动作继续
33. ATTENTION_REQUIRED | 对象=对象台账 | 用户操作=按页面允许动作继续
34. RECOVERED | 对象=Agent Run | 用户操作=按页面允许动作继续
35. WAITING_CONFIRMATION | 对象=Recovery case | 用户操作=按页面允许动作继续
36. COMPLETED | 对象=任务 | 用户操作=按页面允许动作继续
37. DRAFT | 对象=execution | 用户操作=按页面允许动作继续
38. PUBLISHED | 对象=对象台账 | 用户操作=按页面允许动作继续
39. QUEUED | 对象=Agent Run | 用户操作=按页面允许动作继续
40. RUNNING | 对象=Recovery case | 用户操作=按页面允许动作继续
41. PAUSED | 对象=任务 | 用户操作=按页面允许动作继续
42. SUCCEEDED | 对象=execution | 用户操作=按页面允许动作继续
43. FAILED | 对象=对象台账 | 用户操作=查看证据和恢复状态
44. TERMINATED | 对象=Agent Run | 用户操作=按页面允许动作继续
45. ATTENTION_REQUIRED | 对象=Recovery case | 用户操作=按页面允许动作继续
46. RECOVERED | 对象=任务 | 用户操作=按页面允许动作继续
47. WAITING_CONFIRMATION | 对象=execution | 用户操作=按页面允许动作继续
48. COMPLETED | 对象=对象台账 | 用户操作=按页面允许动作继续
49. DRAFT | 对象=Agent Run | 用户操作=按页面允许动作继续
50. PUBLISHED | 对象=Recovery case | 用户操作=按页面允许动作继续
51. QUEUED | 对象=任务 | 用户操作=按页面允许动作继续
52. RUNNING | 对象=execution | 用户操作=按页面允许动作继续
53. PAUSED | 对象=对象台账 | 用户操作=按页面允许动作继续
54. SUCCEEDED | 对象=Agent Run | 用户操作=按页面允许动作继续
55. FAILED | 对象=Recovery case | 用户操作=查看证据和恢复状态
56. TERMINATED | 对象=任务 | 用户操作=按页面允许动作继续
57. ATTENTION_REQUIRED | 对象=execution | 用户操作=按页面允许动作继续
58. RECOVERED | 对象=对象台账 | 用户操作=按页面允许动作继续
59. WAITING_CONFIRMATION | 对象=Agent Run | 用户操作=按页面允许动作继续
60. COMPLETED | 对象=Recovery case | 用户操作=按页面允许动作继续
61. DRAFT | 对象=任务 | 用户操作=按页面允许动作继续
62. PUBLISHED | 对象=execution | 用户操作=按页面允许动作继续
63. QUEUED | 对象=对象台账 | 用户操作=按页面允许动作继续
64. RUNNING | 对象=Agent Run | 用户操作=按页面允许动作继续
65. PAUSED | 对象=Recovery case | 用户操作=按页面允许动作继续
66. SUCCEEDED | 对象=任务 | 用户操作=按页面允许动作继续
67. FAILED | 对象=execution | 用户操作=查看证据和恢复状态
68. TERMINATED | 对象=对象台账 | 用户操作=按页面允许动作继续
69. ATTENTION_REQUIRED | 对象=Agent Run | 用户操作=按页面允许动作继续
70. RECOVERED | 对象=Recovery case | 用户操作=按页面允许动作继续
71. WAITING_CONFIRMATION | 对象=任务 | 用户操作=按页面允许动作继续
72. COMPLETED | 对象=execution | 用户操作=按页面允许动作继续
73. DRAFT | 对象=对象台账 | 用户操作=按页面允许动作继续
74. PUBLISHED | 对象=Agent Run | 用户操作=按页面允许动作继续
75. QUEUED | 对象=Recovery case | 用户操作=按页面允许动作继续
76. RUNNING | 对象=任务 | 用户操作=按页面允许动作继续
77. PAUSED | 对象=execution | 用户操作=按页面允许动作继续
78. SUCCEEDED | 对象=对象台账 | 用户操作=按页面允许动作继续
79. FAILED | 对象=Agent Run | 用户操作=查看证据和恢复状态
80. TERMINATED | 对象=Recovery case | 用户操作=按页面允许动作继续

三、文档指针
1. 主题=用户操作 | 精确码=TXT-QRF-611-REF-001 | 范围=全局产品基线
2. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-002 | 范围=全局产品基线
3. 主题=接口合同 | 精确码=TXT-QRF-611-REF-003 | 范围=全局产品基线
4. 主题=部署 | 精确码=TXT-QRF-611-REF-004 | 范围=全局产品基线
5. 主题=运维 | 精确码=TXT-QRF-611-REF-005 | 范围=全局产品基线
