record_id,artifact_code,retrieval_anchor,task_id,execution_id,object_id,trace_id,incident_id,recovery_case_id,component,error_code,failure_reason,current_value,last_success_value,action,status,observed_at,source_uri,confidence,confidence_basis
CSV-PROF-799-001,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0001,EXEC-tenant-10-project-101-0001,object-00,trace-tenant-10-project-101-0001,INC-tenant-10-project-101-0001,RC-tenant-10-project-101-0001,Gateway,CONNECTION_TIMEOUT,"网络或端点超时：连接耗时、DNS、目标健康",800,800,"有界增加超时或等待端点恢复；持续失败时退出",ATTENTION_REQUIRED,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/field-profile-statistics/1,0.90,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-002,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0002,EXEC-tenant-10-project-101-0002,object-01,trace-tenant-10-project-101-0002,INC-tenant-10-project-101-0002,RC-tenant-10-project-101-0002,Task Management,AUTHENTICATION_FAILED,"凭据失效或引用错误：认证响应与凭据引用版本",801,800,"禁止自动修改凭据，返回轮换指引",RECOVERED,2026-08-10T00:11:00.000Z,synthetic://datasmart-govern/field-profile-statistics/2,0.91,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-003,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0003,EXEC-tenant-10-project-101-0003,object-02,trace-tenant-10-project-101-0003,INC-tenant-10-project-101-0003,RC-tenant-10-project-101-0003,Agent Runtime,PERMISSION_DENIED,"资源动作未授权：actor、resource、action、审批事实",802,800,"立即退出 Loop，说明所需权限",RECOVERED,2026-08-10T00:22:00.000Z,synthetic://datasmart-govern/field-profile-statistics/3,0.92,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-004,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0004,EXEC-tenant-10-project-101-0004,object-03,trace-tenant-10-project-101-0004,INC-tenant-10-project-101-0004,RC-tenant-10-project-101-0004,Python AI Runtime,RATE_LIMIT_EXCEEDED,"来源或目标端限流：429、限流头、连接器容量",803,800,"降低并发/批量并有界退避",RECOVERED,2026-08-10T00:33:00.000Z,synthetic://datasmart-govern/field-profile-statistics/4,0.93,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-005,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0005,EXEC-tenant-10-project-101-0005,object-04,trace-tenant-10-project-101-0005,INC-tenant-10-project-101-0005,RC-tenant-10-project-101-0005,Kafka Broker,SCHEMA_DRIFT_DETECTED,"来源结构发生变化：schema 指纹与元数据差异",804,800,"刷新元数据；唯一兼容映射才自动修复",RECOVERED,2026-08-10T00:44:00.000Z,synthetic://datasmart-govern/field-profile-statistics/5,0.94,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-006,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0006,EXEC-tenant-10-project-101-0006,object-05,trace-tenant-10-project-101-0006,INC-tenant-10-project-101-0006,RC-tenant-10-project-101-0006,Kafka Consumer,FIELD_MAPPING_MISSING,"目标字段缺少映射：源目标字段、历史成功映射",805,800,"唯一映射可修复，歧义映射退出",RECOVERED,2026-08-10T00:55:00.000Z,synthetic://datasmart-govern/field-profile-statistics/6,0.95,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-007,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0007,EXEC-tenant-10-project-101-0007,object-06,trace-tenant-10-project-101-0007,INC-tenant-10-project-101-0007,RC-tenant-10-project-101-0007,Outbox,NOT_NULL_VIOLATION,"目标非空字段收到空值：错误字段、字段画像、已批准默认值",806,800,"使用已批准静态默认值；不得放宽约束",RECOVERED,2026-08-10T01:06:00.000Z,synthetic://datasmart-govern/field-profile-statistics/7,0.96,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-008,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0008,EXEC-tenant-10-project-101-0008,object-07,trace-tenant-10-project-101-0008,INC-tenant-10-project-101-0008,RC-tenant-10-project-101-0008,DLT,DATA_TYPE_MISMATCH,"源目标类型不兼容：类型、精度、长度、样本统计",807,800,"无损转换可修复，有损转换退出",ATTENTION_REQUIRED,2026-08-10T01:17:00.000Z,synthetic://datasmart-govern/field-profile-statistics/8,0.97,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-009,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0009,EXEC-tenant-10-project-101-0009,object-08,trace-tenant-10-project-101-0009,INC-tenant-10-project-101-0009,RC-tenant-10-project-101-0009,Datasource,NUMERIC_OVERFLOW,"数值超过目标精度：最值、precision、scale",808,800,"禁止截断，返回扩容或映射建议",RECOVERED,2026-08-10T01:28:00.000Z,synthetic://datasmart-govern/field-profile-statistics/9,0.98,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-010,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0010,EXEC-tenant-10-project-101-0010,object-09,trace-tenant-10-project-101-0010,INC-tenant-10-project-101-0010,RC-tenant-10-project-101-0010,Data Sync Worker,STRING_TRUNCATION_RISK,"字符串超过目标长度：最大长度与超限行数",809,800,"禁止静默截断，退出并给出影响",RECOVERED,2026-08-10T01:39:00.000Z,synthetic://datasmart-govern/field-profile-statistics/10,0.99,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-011,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0011,EXEC-tenant-10-project-101-0011,object-10,trace-tenant-10-project-101-0011,INC-tenant-10-project-101-0011,RC-tenant-10-project-101-0011,PostgreSQL,FOREIGN_KEY_MISSING,"父记录尚未存在：约束名、父子对象、执行 DAG",810,800,"调整依赖顺序并 replay 父子对象",RECOVERED,2026-08-10T01:50:00.000Z,synthetic://datasmart-govern/field-profile-statistics/11,0.90,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-012,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0012,EXEC-tenant-10-project-101-0012,object-11,trace-tenant-10-project-101-0012,INC-tenant-10-project-101-0012,RC-tenant-10-project-101-0012,pgvector,UNIQUE_CONSTRAINT_VIOLATION,"业务键或幂等键重复：约束名、键摘要、历史回执",811,800,"确认幂等重放；非幂等冲突退出",RECOVERED,2026-08-10T02:01:00.000Z,synthetic://datasmart-govern/field-profile-statistics/12,0.91,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-013,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0013,EXEC-tenant-10-project-101-0013,object-12,trace-tenant-10-project-101-0013,INC-tenant-10-project-101-0013,RC-tenant-10-project-101-0013,Redis,CHECKPOINT_NOT_FOUND,"没有可恢复位点：对象台账与 checkpoint 表",812,800,"只在授权允许时从安全起点重跑",RECOVERED,2026-08-10T02:12:00.000Z,synthetic://datasmart-govern/field-profile-statistics/13,0.92,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-014,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0014,EXEC-tenant-10-project-101-0014,object-13,trace-tenant-10-project-101-0014,INC-tenant-10-project-101-0014,RC-tenant-10-project-101-0014,MinIO,CHECKPOINT_STALE,"位点落后或与提交不一致：worker 回执、目标提交、位点时间",813,800,"选择最近已确认位点并验证去重",RECOVERED,2026-08-10T02:23:00.000Z,synthetic://datasmart-govern/field-profile-statistics/14,0.93,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-015,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0015,EXEC-tenant-10-project-101-0015,object-14,trace-tenant-10-project-101-0015,INC-tenant-10-project-101-0015,RC-tenant-10-project-101-0015,Model Provider,KAFKA_BACKLOG_HIGH,"消费者处理速度低于生产速度：group、partition、lag、处理时延",814,800,"隔离坏消息并在容量允许时扩容",ATTENTION_REQUIRED,2026-08-10T02:34:00.000Z,synthetic://datasmart-govern/field-profile-statistics/15,0.94,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-016,CSV-PROF-799,tenant-10-project-101:field-profile-statistics,TASK-tenant-10-project-101-0016,EXEC-tenant-10-project-101-0016,object-15,trace-tenant-10-project-101-0016,INC-tenant-10-project-101-0016,RC-tenant-10-project-101-0016,Embedding,OUTBOX_DELIVERY_TIMEOUT,"事务事实未及时投递：outbox 状态、attempt、broker 响应",815,800,"重投未交付 outbox，不重复业务事务",RECOVERED,2026-08-10T02:45:00.000Z,synthetic://datasmart-govern/field-profile-statistics/16,0.95,SYNTHETIC_CORRELATED_RECORD
