record_id,artifact_code,retrieval_anchor,dataset_id,field_name,data_type,sample_count,null_count,null_ratio,distinct_count,distinct_ratio,min_value,max_value,max_length,profiled_at,source_uri
PROF-0001,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-001,order_id,varchar,100000,0,0,100000,1,,,16,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/1
PROF-0002,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-002,customer_id,bigint,100100,0,0,100099,0.99999,,,17,2026-08-10T02:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/2
PROF-0003,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-003,region_code,decimal,100200,0,0,100198,0.99998,0.00,100002,18,2026-08-10T04:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/3
PROF-0004,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-004,amount,timestamp,100300,0,0,100297,0.99997,,,19,2026-08-10T06:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/4
PROF-0005,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-005,occurred_at,varchar,100400,0,0,100396,0.99996,,,20,2026-08-10T08:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/5
PROF-0006,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-006,status,bigint,100500,0,0,100495,0.99995,,,21,2026-08-10T10:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/6
PROF-0007,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-007,currency,decimal,100600,0,0,100594,0.99994,0.00,100006,22,2026-08-10T12:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/7
PROF-0008,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-008,product_id,timestamp,100700,7,0.00007,100693,0.99993,,,23,2026-08-10T14:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/8
PROF-0009,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-009,quantity,varchar,100800,0,0,100792,0.999921,,,24,2026-08-10T16:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/9
PROF-0010,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-010,email_hash,bigint,100900,0,0,100891,0.999911,,,25,2026-08-10T18:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/10
PROF-0011,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-011,order_id,decimal,101000,0,0,100990,0.999901,0.00,100010,26,2026-08-10T20:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/11
PROF-0012,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-012,customer_id,timestamp,101100,0,0,101089,0.999891,,,27,2026-08-10T22:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/12
PROF-0013,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-013,region_code,varchar,101200,0,0,101188,0.999881,,,28,2026-08-11T00:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/13
PROF-0014,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-014,amount,bigint,101300,0,0,101287,0.999872,,,29,2026-08-11T02:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/14
PROF-0015,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-015,occurred_at,decimal,101400,14,0.000138,101386,0.999862,0.00,100014,30,2026-08-11T04:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/15
PROF-0016,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-016,status,timestamp,101500,0,0,101485,0.999852,,,31,2026-08-11T06:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/16
PROF-0017,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-017,currency,varchar,101600,0,0,101584,0.999843,,,32,2026-08-11T08:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/17
PROF-0018,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-018,product_id,bigint,101700,0,0,101683,0.999833,,,33,2026-08-11T10:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/18
PROF-0019,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-019,quantity,decimal,101800,0,0,101782,0.999823,0.00,100018,34,2026-08-11T12:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/19
PROF-0020,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-020,email_hash,timestamp,101900,0,0,101881,0.999814,,,35,2026-08-11T14:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/20
PROF-0021,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-021,order_id,varchar,102000,0,0,101980,0.999804,,,36,2026-08-11T16:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/21
PROF-0022,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-022,customer_id,bigint,102100,21,0.000206,102079,0.999794,,,37,2026-08-11T18:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/22
PROF-0023,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-023,region_code,decimal,102200,0,0,102178,0.999785,0.00,100022,38,2026-08-11T20:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/23
PROF-0024,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-024,amount,timestamp,102300,0,0,102277,0.999775,,,39,2026-08-11T22:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/24
PROF-0025,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-025,occurred_at,varchar,102400,0,0,102376,0.999766,,,40,2026-08-12T00:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/25
PROF-0026,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-026,status,bigint,102500,0,0,102475,0.999756,,,41,2026-08-12T02:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/26
PROF-0027,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-027,currency,decimal,102600,0,0,102574,0.999747,0.00,100026,42,2026-08-12T04:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/27
PROF-0028,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-028,product_id,timestamp,102700,0,0,102673,0.999737,,,43,2026-08-12T06:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/28
PROF-0029,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-029,quantity,varchar,102800,28,0.000272,102772,0.999728,,,44,2026-08-12T08:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/29
PROF-0030,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-030,email_hash,bigint,102900,0,0,102871,0.999718,,,45,2026-08-12T10:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/30
PROF-0031,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-031,order_id,decimal,103000,0,0,102970,0.999709,0.00,100030,46,2026-08-12T12:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/31
PROF-0032,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-032,customer_id,timestamp,103100,0,0,103069,0.999699,,,47,2026-08-12T14:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/32
PROF-0033,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-033,region_code,varchar,103200,0,0,103168,0.99969,,,48,2026-08-12T16:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/33
PROF-0034,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-034,amount,bigint,103300,0,0,103267,0.999681,,,49,2026-08-12T18:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/34
PROF-0035,CSV-PROF-799,tenant-10-project-102:field-profile-statistics,dataset-035,occurred_at,decimal,103400,0,0,103366,0.999671,0.00,100034,50,2026-08-12T20:00:00.000Z,synthetic://datasmart-govern/field-profile/tenant-10-project-102/35
