record_id,artifact_code,retrieval_anchor,connector_id,connector_type,version,environment,supported_modes,max_batch_size,max_channels,rate_limit_rps,health_state,last_probed_at,source_uri
CON-0001,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0001,POSTGRESQL,2.0.0,DEV,FULL|INCREMENTAL|CDC,500,1,50,DEGRADED,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/1
CON-0002,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0002,MYSQL,2.1.1,TEST,FULL|INCREMENTAL|CDC,1000,2,60,HEALTHY,2026-08-10T01:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/2
CON-0003,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0003,KAFKA,2.2.2,STAGING,FULL|INCREMENTAL|CDC,1500,3,70,HEALTHY,2026-08-10T02:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/3
CON-0004,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0004,CSV,2.3.3,DEV,FULL|INCREMENTAL|CDC,2000,4,80,HEALTHY,2026-08-10T03:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/4
CON-0005,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0005,REST_API,2.4.4,TEST,FULL|INCREMENTAL|CDC,2500,5,90,HEALTHY,2026-08-10T04:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/5
CON-0006,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0006,S3,2.5.5,STAGING,FULL|INCREMENTAL|CDC,3000,6,100,HEALTHY,2026-08-10T05:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/6
CON-0007,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0007,MONGODB,2.6.6,DEV,FULL|INCREMENTAL|CDC,3500,7,110,HEALTHY,2026-08-10T06:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/7
CON-0008,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0008,POSTGRESQL,2.7.7,TEST,FULL|INCREMENTAL|CDC,4000,8,120,HEALTHY,2026-08-10T07:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/8
CON-0009,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0009,MYSQL,2.8.8,STAGING,FULL|INCREMENTAL|CDC,500,1,130,HEALTHY,2026-08-10T08:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/9
CON-0010,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0010,KAFKA,2.9.9,DEV,FULL|INCREMENTAL|CDC,1000,2,140,HEALTHY,2026-08-10T09:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/10
CON-0011,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0011,CSV,2.0.10,TEST,FULL|INCREMENTAL|CDC,1500,3,150,HEALTHY,2026-08-10T10:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/11
CON-0012,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0012,REST_API,2.1.11,STAGING,FULL|INCREMENTAL|CDC,2000,4,160,HEALTHY,2026-08-10T11:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/12
CON-0013,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0013,S3,2.2.12,DEV,FULL|INCREMENTAL|CDC,2500,5,170,HEALTHY,2026-08-10T12:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/13
CON-0014,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0014,MONGODB,2.3.13,TEST,FULL|INCREMENTAL|CDC,3000,6,180,HEALTHY,2026-08-10T13:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/14
CON-0015,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0015,POSTGRESQL,2.4.14,STAGING,FULL|INCREMENTAL|CDC,3500,7,190,HEALTHY,2026-08-10T14:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/15
CON-0016,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0016,MYSQL,2.5.15,DEV,FULL|INCREMENTAL|CDC,4000,8,200,HEALTHY,2026-08-10T15:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/16
CON-0017,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0017,KAFKA,2.6.16,TEST,FULL|INCREMENTAL|CDC,500,1,210,HEALTHY,2026-08-10T16:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/17
CON-0018,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0018,CSV,2.7.17,STAGING,FULL|INCREMENTAL|CDC,1000,2,220,HEALTHY,2026-08-10T17:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/18
CON-0019,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0019,REST_API,2.8.18,DEV,FULL|INCREMENTAL|CDC,1500,3,230,HEALTHY,2026-08-10T18:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/19
CON-0020,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0020,S3,2.9.19,TEST,FULL|INCREMENTAL|CDC,2000,4,240,DEGRADED,2026-08-10T19:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/20
CON-0021,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0021,MONGODB,2.0.0,STAGING,FULL|INCREMENTAL|CDC,2500,5,50,HEALTHY,2026-08-10T20:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/21
CON-0022,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0022,POSTGRESQL,2.1.1,DEV,FULL|INCREMENTAL|CDC,3000,6,60,HEALTHY,2026-08-10T21:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/22
CON-0023,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0023,MYSQL,2.2.2,TEST,FULL|INCREMENTAL|CDC,3500,7,70,HEALTHY,2026-08-10T22:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/23
CON-0024,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0024,KAFKA,2.3.3,STAGING,FULL|INCREMENTAL|CDC,4000,8,80,HEALTHY,2026-08-10T23:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/24
CON-0025,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0025,CSV,2.4.4,DEV,FULL|INCREMENTAL|CDC,500,1,90,HEALTHY,2026-08-11T00:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/25
CON-0026,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0026,REST_API,2.5.5,TEST,FULL|INCREMENTAL|CDC,1000,2,100,HEALTHY,2026-08-11T01:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/26
CON-0027,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0027,S3,2.6.6,STAGING,FULL|INCREMENTAL|CDC,1500,3,110,HEALTHY,2026-08-11T02:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/27
CON-0028,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0028,MONGODB,2.7.7,DEV,FULL|INCREMENTAL|CDC,2000,4,120,HEALTHY,2026-08-11T03:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/28
CON-0029,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0029,POSTGRESQL,2.8.8,TEST,FULL|INCREMENTAL|CDC,2500,5,130,HEALTHY,2026-08-11T04:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/29
CON-0030,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0030,MYSQL,2.9.9,STAGING,FULL|INCREMENTAL|CDC,3000,6,140,HEALTHY,2026-08-11T05:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/30
CON-0031,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0031,KAFKA,2.0.10,DEV,FULL|INCREMENTAL|CDC,3500,7,150,HEALTHY,2026-08-11T06:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/31
CON-0032,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0032,CSV,2.1.11,TEST,FULL|INCREMENTAL|CDC,4000,8,160,HEALTHY,2026-08-11T07:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/32
CON-0033,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0033,REST_API,2.2.12,STAGING,FULL|INCREMENTAL|CDC,500,1,170,HEALTHY,2026-08-11T08:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/33
CON-0034,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0034,S3,2.3.13,DEV,FULL|INCREMENTAL|CDC,1000,2,180,HEALTHY,2026-08-11T09:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/34
CON-0035,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0035,MONGODB,2.4.14,TEST,FULL|INCREMENTAL|CDC,1500,3,190,HEALTHY,2026-08-11T10:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/35
CON-0036,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0036,POSTGRESQL,2.5.15,STAGING,FULL|INCREMENTAL|CDC,2000,4,200,HEALTHY,2026-08-11T11:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/36
CON-0037,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0037,MYSQL,2.6.16,DEV,FULL|INCREMENTAL|CDC,2500,5,210,HEALTHY,2026-08-11T12:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/37
CON-0038,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0038,KAFKA,2.7.17,TEST,FULL|INCREMENTAL|CDC,3000,6,220,HEALTHY,2026-08-11T13:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/38
CON-0039,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0039,CSV,2.8.18,STAGING,FULL|INCREMENTAL|CDC,3500,7,230,DEGRADED,2026-08-11T14:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/39
CON-0040,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0040,REST_API,2.9.19,DEV,FULL|INCREMENTAL|CDC,4000,8,240,HEALTHY,2026-08-11T15:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/40
CON-0041,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0041,S3,2.0.0,TEST,FULL|INCREMENTAL|CDC,500,1,50,HEALTHY,2026-08-11T16:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/41
CON-0042,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0042,MONGODB,2.1.1,STAGING,FULL|INCREMENTAL|CDC,1000,2,60,HEALTHY,2026-08-11T17:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/42
CON-0043,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0043,POSTGRESQL,2.2.2,DEV,FULL|INCREMENTAL|CDC,1500,3,70,HEALTHY,2026-08-11T18:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/43
CON-0044,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0044,MYSQL,2.3.3,TEST,FULL|INCREMENTAL|CDC,2000,4,80,HEALTHY,2026-08-11T19:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/44
CON-0045,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0045,KAFKA,2.4.4,STAGING,FULL|INCREMENTAL|CDC,2500,5,90,HEALTHY,2026-08-11T20:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/45
CON-0046,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0046,CSV,2.5.5,DEV,FULL|INCREMENTAL|CDC,3000,6,100,HEALTHY,2026-08-11T21:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/46
CON-0047,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0047,REST_API,2.6.6,TEST,FULL|INCREMENTAL|CDC,3500,7,110,HEALTHY,2026-08-11T22:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/47
CON-0048,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0048,S3,2.7.7,STAGING,FULL|INCREMENTAL|CDC,4000,8,120,HEALTHY,2026-08-11T23:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/48
CON-0049,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0049,MONGODB,2.8.8,DEV,FULL|INCREMENTAL|CDC,500,1,130,HEALTHY,2026-08-12T00:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/49
CON-0050,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0050,POSTGRESQL,2.9.9,TEST,FULL|INCREMENTAL|CDC,1000,2,140,HEALTHY,2026-08-12T01:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/50
CON-0051,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0051,MYSQL,2.0.10,STAGING,FULL|INCREMENTAL|CDC,1500,3,150,HEALTHY,2026-08-12T02:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/51
CON-0052,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0052,KAFKA,2.1.11,DEV,FULL|INCREMENTAL|CDC,2000,4,160,HEALTHY,2026-08-12T03:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/52
CON-0053,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0053,CSV,2.2.12,TEST,FULL|INCREMENTAL|CDC,2500,5,170,HEALTHY,2026-08-12T04:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/53
CON-0054,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0054,REST_API,2.3.13,STAGING,FULL|INCREMENTAL|CDC,3000,6,180,HEALTHY,2026-08-12T05:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/54
CON-0055,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0055,S3,2.4.14,DEV,FULL|INCREMENTAL|CDC,3500,7,190,HEALTHY,2026-08-12T06:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/55
CON-0056,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0056,MONGODB,2.5.15,TEST,FULL|INCREMENTAL|CDC,4000,8,200,HEALTHY,2026-08-12T07:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/56
CON-0057,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0057,POSTGRESQL,2.6.16,STAGING,FULL|INCREMENTAL|CDC,500,1,210,HEALTHY,2026-08-12T08:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/57
