record_id,artifact_code,retrieval_anchor,task_id,execution_id,object_id,trace_id,incident_id,recovery_case_id,component,error_code,failure_reason,current_value,last_success_value,action,status,observed_at,source_uri,confidence,confidence_basis
CSV-ALR-810-001,CSV-ALR-810,global:alert-history,TASK-global-0001,EXEC-global-0001,object-00,trace-global-0001,INC-global-0001,RC-global-0001,Gateway,CONNECTION_TIMEOUT,"网络或端点超时：连接耗时、DNS、目标健康",500,500,"有界增加超时或等待端点恢复；持续失败时退出",ATTENTION_REQUIRED,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/alert-history/1,0.90,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-002,CSV-ALR-810,global:alert-history,TASK-global-0002,EXEC-global-0002,object-01,trace-global-0002,INC-global-0002,RC-global-0002,Task Management,AUTHENTICATION_FAILED,"凭据失效或引用错误：认证响应与凭据引用版本",501,500,"禁止自动修改凭据，返回轮换指引",RECOVERED,2026-08-10T00:11:00.000Z,synthetic://datasmart-govern/alert-history/2,0.91,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-003,CSV-ALR-810,global:alert-history,TASK-global-0003,EXEC-global-0003,object-02,trace-global-0003,INC-global-0003,RC-global-0003,Agent Runtime,PERMISSION_DENIED,"资源动作未授权：actor、resource、action、审批事实",502,500,"立即退出 Loop，说明所需权限",RECOVERED,2026-08-10T00:22:00.000Z,synthetic://datasmart-govern/alert-history/3,0.92,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-004,CSV-ALR-810,global:alert-history,TASK-global-0004,EXEC-global-0004,object-03,trace-global-0004,INC-global-0004,RC-global-0004,Python AI Runtime,RATE_LIMIT_EXCEEDED,"来源或目标端限流：429、限流头、连接器容量",503,500,"降低并发/批量并有界退避",RECOVERED,2026-08-10T00:33:00.000Z,synthetic://datasmart-govern/alert-history/4,0.93,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-005,CSV-ALR-810,global:alert-history,TASK-global-0005,EXEC-global-0005,object-04,trace-global-0005,INC-global-0005,RC-global-0005,Kafka Broker,SCHEMA_DRIFT_DETECTED,"来源结构发生变化：schema 指纹与元数据差异",504,500,"刷新元数据；唯一兼容映射才自动修复",RECOVERED,2026-08-10T00:44:00.000Z,synthetic://datasmart-govern/alert-history/5,0.94,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-006,CSV-ALR-810,global:alert-history,TASK-global-0006,EXEC-global-0006,object-05,trace-global-0006,INC-global-0006,RC-global-0006,Kafka Consumer,FIELD_MAPPING_MISSING,"目标字段缺少映射：源目标字段、历史成功映射",505,500,"唯一映射可修复，歧义映射退出",RECOVERED,2026-08-10T00:55:00.000Z,synthetic://datasmart-govern/alert-history/6,0.95,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-007,CSV-ALR-810,global:alert-history,TASK-global-0007,EXEC-global-0007,object-06,trace-global-0007,INC-global-0007,RC-global-0007,Outbox,NOT_NULL_VIOLATION,"目标非空字段收到空值：错误字段、字段画像、已批准默认值",506,500,"使用已批准静态默认值；不得放宽约束",RECOVERED,2026-08-10T01:06:00.000Z,synthetic://datasmart-govern/alert-history/7,0.96,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-008,CSV-ALR-810,global:alert-history,TASK-global-0008,EXEC-global-0008,object-07,trace-global-0008,INC-global-0008,RC-global-0008,DLT,DATA_TYPE_MISMATCH,"源目标类型不兼容：类型、精度、长度、样本统计",507,500,"无损转换可修复，有损转换退出",ATTENTION_REQUIRED,2026-08-10T01:17:00.000Z,synthetic://datasmart-govern/alert-history/8,0.97,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-009,CSV-ALR-810,global:alert-history,TASK-global-0009,EXEC-global-0009,object-08,trace-global-0009,INC-global-0009,RC-global-0009,Datasource,NUMERIC_OVERFLOW,"数值超过目标精度：最值、precision、scale",508,500,"禁止截断，返回扩容或映射建议",RECOVERED,2026-08-10T01:28:00.000Z,synthetic://datasmart-govern/alert-history/9,0.98,SYNTHETIC_CORRELATED_RECORD
CSV-ALR-810-010,CSV-ALR-810,global:alert-history,TASK-global-0010,EXEC-global-0010,object-09,trace-global-0010,INC-global-0010,RC-global-0010,Data Sync Worker,STRING_TRUNCATION_RISK,"字符串超过目标长度：最大长度与超限行数",509,500,"禁止静默截断，退出并给出影响",RECOVERED,2026-08-10T01:39:00.000Z,synthetic://datasmart-govern/alert-history/10,0.99,SYNTHETIC_CORRELATED_RECORD
