record_id,artifact_code,retrieval_anchor,task_id,execution_id,config_version,sync_mode,source_object,target_object,rows_read,rows_written,dirty_records,duration_ms,checkpoint,completed_at,status,source_uri
RUN-0001,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0001,EXEC-tenant-20-project-201-0001,cfg-v100,FULL,PostgreSQL.orders,warehouse.order_fact,10000,10000,0,30000,checkpoint-000001,2026-08-10T00:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/1
RUN-0002,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0002,EXEC-tenant-20-project-201-0002,cfg-v101,INCREMENTAL,MySQL.customer,lake.customer,10991,10991,0,30131,checkpoint-000002,2026-08-10T00:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/2
RUN-0003,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0003,EXEC-tenant-20-project-201-0003,cfg-v102,CDC,Kafka.payment,warehouse.payment,11982,11982,0,30262,checkpoint-000003,2026-08-10T00:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/3
RUN-0004,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0004,EXEC-tenant-20-project-201-0004,cfg-v103,FILE,CSV.daily_sales,staging.daily_sales,12973,12973,0,30393,checkpoint-000004,2026-08-10T00:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/4
RUN-0005,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0005,EXEC-tenant-20-project-201-0005,cfg-v104,API,API.inventory,warehouse.inventory,13964,13964,0,30524,checkpoint-000005,2026-08-10T01:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/5
RUN-0006,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0006,EXEC-tenant-20-project-201-0006,cfg-v105,KAFKA,MinIO.parquet/events,lake.events,14955,14955,0,30655,checkpoint-000006,2026-08-10T01:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/6
RUN-0007,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0007,EXEC-tenant-20-project-201-0007,cfg-v106,FULL,MongoDB.profile,warehouse.profile,15946,15946,0,30786,checkpoint-000007,2026-08-10T01:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/7
RUN-0008,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0008,EXEC-tenant-20-project-201-0008,cfg-v107,INCREMENTAL,PostgreSQL.refund,warehouse.refund_fact,16937,16937,0,30917,checkpoint-000008,2026-08-10T01:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/8
RUN-0009,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0009,EXEC-tenant-20-project-201-0009,cfg-v108,CDC,PostgreSQL.orders,warehouse.order_fact,17928,17928,0,31048,checkpoint-000009,2026-08-10T02:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/9
RUN-0010,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0010,EXEC-tenant-20-project-201-0010,cfg-v109,FILE,MySQL.customer,lake.customer,18919,18919,0,31179,checkpoint-000010,2026-08-10T02:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/10
